Run,Type,Target,EBeam,P_SHMS,Theta_SHMS,P_HMS,Theta_HMS,Current,PS1,PS4,PS5,HMS_Rate_(kHz),SHMS_Rate_(kHz),Coin_Rate_(kHz),Charge_(mC),Raw_HMS,Raw_SHMS,Raw_Coin,EDTM,SHMS_Hadron_Tracking,Comments,LH2,,,,,,LD2,,,,,,
11799,Optics,LD2,9.158,-5.27,7.495,-5.89,12.505,-,9,4,-1,-,-,-,-,-,-,-,-,-,Defocused run,10.28,,8.28,,6.28,,10.28,,8.28,,6.28,,Prescaled 10.28
11801,Optics,LD2,9.158,-5.27,7.495,-5.89,12.505,-,10,5,-1,-,-,-,-,-,-,-,-,-,Defocused run,Charge,Pion,Charge,Pion,Charge,Pion,Charge,Pion,Charge,Pion,Charge,Pion,Charge
11802,Optics,LD2,9.158,-5.27,7.495,-5.89,12.505,-,10,5,-1,-,-,-,-,-,-,-,-,-,Defocused run,,117428,,174000,,78751,,65600,,184805,,78751,
11829,HeePCoin,LH2,9.203,5.015,23.79,5.015,-23.75,42.536,1,0,0,0.096,4.176,0.014,32.177,60k,1277k,10k,8k,0.978,~1.8k good coin,,116888,,159269,,"104,847",,68000,,131417,,106509,
11830,HeePCoin,LH2,9.203,5.015,23.79,5.015,-23.75,39.574,1,0,0,0.098,4.348,0.014,48.622,91k,1946k,16k,12k,0.977,~2.7k good coin,786.763,,386.296,,290.021,,382.456,,447.168,,311.273,,265.512
11831,HeePCoin,LH2,9.203,5.015,23.79,5.015,-23.75,18.491,1,0,0,0.081,3.429,0.013,28.543,62k,1133k,18k,16k,0.957,~1.5k good coin,,,,,,,,,,,,,
11833,HeePCoin,LH2,9.203,5.015,23.79,5.015,-23.75,17.642,1,0,0,0.041,1.403,0.011,33.021,73k,1251k,21k,19k,0.994,,,,,,,,,,,,,,
11834,HeePCoin,LH2,9.203,5.015,23.79,5.015,-23.75,14.865,1,0,0,0.041,1.419,0.011,7.494,17k,284k,6k,5k,1,,,,,,,,,,,,,,
11835,HeePCoin,LH2,9.203,5.015,23.79,5.015,-23.75,18.71,1,0,0,0.041,1.405,0.011,3.47,8k,131k,2k,2k,1,,,,,,,,,,,,,,
11836,HeePCoin,Dummy10cm,9.203,5.015,23.79,5.015,-23.75,30.211,1,0,0,0.031,1.013,0.01,9.187,8k,125k,3k,3k,0.983,,,,,,,,,,,,,,
11838,HeePCoin,Dummy10cm,9.203,5.015,23.79,5.015,-23.75,36.882,1,0,0,0.03,0.987,0.01,20.413,17k,276k,6k,6k,0.993,,,,,,,,,,,,,,
11839,HeePCoin,LH2,9.203,5.015,23.79,5.015,-23.75,28.3,1,0,0,0.059,2.242,0.012,6.494,18k,349k,4k,3k,1,,,,,,,,,,,,,,
11840,HeePCoin,LH2,9.203,5.015,23.79,5.015,-23.75,21.146,1,0,0,0.077,3.156,0.013,15.368,33k,605k,8k,7k,0.965,,,,,,,,,,,,,,
11841,HeePCoin,LH2,9.203,5.015,23.79,5.015,-23.75,49.819,1,0,0,0.095,4.141,0.014,32.61,65k,1417k,10k,7k,0.959,,,,,,,,,,,,,,
11842,HeePCoin,LH2,9.203,5.015,23.79,5.015,-23.75,22.313,1,0,0,0.08,3.371,0.013,18.386,38k,728k,10k,8k,0.976,,,,,,,,,,,,,,
11843,HeePCoin,LH2,9.203,5.015,23.79,5.015,-23.75,49.653,1,0,0,0.096,4.167,0.014,33.951,62k,1346k,9k,7k,0.969,,,,,,,,,,,,,,
11844,HeePCoin,LH2,0,0,0,0,0,33.856,1,0,0,0.082,3.463,0.013,36.502,70k,1435k,13k,11k,0.953,,,,,,,,,,,,,,
11847,HeePCoin,LH2,9.203,6.265,18.125,3.738,-31.645,31.041,2,0,0,0.019,7.37,0.011,27.225,14k,1412k,9k,9k,0.929,~250 good coin,,,,,,,,,,,,,
